AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202507,2927309,SALINAS DA MARGARIDA,29,BAHIA,NE,NORDESTE,49088698.94,445785,8108932.03,10788,46331766.33,290859,4813341.86,36446,10469,279,10460,258
202508,2310902,PIQUET CARNEIRO,23,CEARÁ,NE,NORDESTE,29482214.55,195561,4891419.38,6734,28456250.98,169729,5933584.02,27691,6623,223,6381,194
202406,3104403,ARGIRITA,31,MINAS GERAIS,SE,SUDESTE,5261652.26,28592,7946521.39,1218,5094784.17,16915,1404301.23,3684,1300,85,1240,79
202312,4300646,AMETISTA DO SUL,43,RIO GRANDE DO SUL,SU,SUL,11501170.67,64425,9610704.32,7455,11712031.29,31381,10586490.58,23240,3105,409,2903,398
202411,3205309,VITÓRIA,32,ESPÍRITO SANTO,SE,SUDESTE,2230499938.32,8946288,7597617877.47,1782165,2228990109.16,5248510,6919887233.95,4120764,258617,32492,249727,29147
202503,2901106,AMÉLIA RODRIGUES,29,BAHIA,NE,NORDESTE,83874030.75,737999,36675998.14,27095,80370184.84,448432,42777684.96,85557,15537,552,15633,521
202405,3536257,PARISI,35,SÃO PAULO,SE,SUDESTE,8772318.72,31456,6124471.87,2102,8199838.64,19937,3721842.24,4512,1281,79,1298,66
202501,1100049,CACOAL,11,RONDÔNIA,NO,NORTE,416620577.67,1722046,307776819.59,172791,409460771.23,958013,296368561.79,479442,59730,5274,58539,5008
202306,2111029,SÃO JOÃO DO CARÚ,21,MARANHÃO,NE,NORDESTE,16679875.07,115819,1444943.4,1882,15875973.53,77857,1721860.9,6130,4955,93,4847,91
202403,2500304,ALAGOA GRANDE,25,PARAÍBA,NE,NORDESTE,52194861.29,402888,7044518.15,5971,49332119.26,287261,9390962.15,32398,12739,270,12745,254
202403,2922300,MURITIBA,29,BAHIA,NE,NORDESTE,63779344.48,482829,14570986.32,14584,62308135.68,327677,12447199.31,38935,14412,484,14521,437
202402,3153608,PRUDENTE DE MORAIS,31,MINAS GERAIS,SE,SUDESTE,23267118.22,175250,16686763.92,9560,23859159.31,106790,15450112.11,16395,6111,412,6144,358
202411,2605103,CUSTÓDIA,26,PERNAMBUCO,NE,NORDESTE,91326564.83,573514,41469845.56,24056,87063325.19,368463,44276716.59,102056,17627,725,17642,653
202310,5200050,ABADIA DE GOIÁS,52,GOIÁS,CO,CENTRO-OESTE,38861478.27,188821,43986456.36,24951,41212071.85,150783,30971751.79,47772,6153,678,6312,633
202306,5106265,NOVO MUNDO,51,MATO GROSSO,CO,CENTRO-OESTE,21250632.37,47298,5042999.27,4049,21392806.58,28024,4445157.03,10874,3012,184,2717,177
202505,3556453,VARGEM GRANDE PAULISTA,35,SÃO PAULO,SE,SUDESTE,284099126.77,1340887,301414064.13,134596,299354262.82,794384,302813782.98,263867,40515,3968,40125,3758
202408,2802106,ESTÂNCIA,28,SERGIPE,NE,NORDESTE,216563266.16,1644030,198765853.28,60919,208233049.45,1032609,176557847.96,275124,41477,1682,42080,1584
202409,2612505,SANTA CRUZ DO CAPIBARIBE,26,PERNAMBUCO,NE,NORDESTE,668983294.01,2537466,185105360.59,118696,681345438.65,1993066,260312561.92,623721,59425,3536,58472,3338
202408,1506583,SANTA MARIA DAS BARREIRAS,15,PARÁ,NO,NORTE,44511652.68,201855,25986607.57,15306,42273131.17,116864,29983582.96,57572,5857,456,5734,408
202312,5006358,PARANHOS,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,22067498.69,117526,4736294.65,4167,21366145.53,63351,5829970.01,16566,4526,183,4393,188
202506,3513108,CRAVINHOS,35,SÃO PAULO,SE,SUDESTE,159446501.82,770154,276230005.79,82249,176072861.29,425897,253459289.75,219149,22818,2427,22553,2327
202412,3525904,JUNDIAÍ,35,SÃO PAULO,SE,SUDESTE,2698437776.5,9073103,5116688539.46,976630,2814341539.27,5415229,5298238160.37,2314300,326613,35080,317740,32500
202311,2608701,LAGOA DOS GATOS,26,PERNAMBUCO,NE,NORDESTE,23738310.36,145536,1978135.06,2259,22694452.94,107656,2151446.0,8121,5590,116,5413,97
202401,5218300,POSSE,52,GOIÁS,CO,CENTRO-OESTE,133422151.23,637256,52605273.23,47912,125702673.21,387594,62856275.7,134402,22268,1554,22022,1435
202410,4306106,CRUZ ALTA,43,RIO GRANDE DO SUL,SU,SUL,260002747.76,1266225,213058351.93,94679,248055085.15,707319,240722702.64,251103,39141,3158,38096,3093
202301,4124020,SANTA TEREZA DO OESTE,41,PARANÁ,SU,SUL,20144216.5,81480,78167833.72,12973,20744203.56,54270,60182031.7,22436,5502,632,5344,615
202501,5201801,ARAGOIÂNIA,52,GOIÁS,CO,CENTRO-OESTE,41381760.59,193258,21082996.42,15445,42175400.12,127933,20220699.32,45088,5516,467,5565,445
202302,5004700,IVINHEMA,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,53691718.04,180650,26760058.02,19034,60015258.54,125598,27833446.29,48823,11823,858,11575,864
202412,2200459,ALVORADA DO GURGUÉIA,22,PIAUÍ,NE,NORDESTE,15431600.54,109228,5279561.85,2249,14611294.23,68671,7850344.17,11098,2811,78,2801,75
202402,3526001,JUNQUEIRÓPOLIS,35,SÃO PAULO,SE,SUDESTE,45092057.08,227463,94843612.48,20949,47478603.1,137349,44058030.42,47661,10088,758,9876,749
202402,1709500,GURUPI,17,TOCANTINS,NO,NORTE,415870681.9,1752584,313517052.39,137115,421613537.4,1085356,282796695.89,345918,55371,4191,56269,4092
202308,1501709,BRAGANÇA,15,PARÁ,NO,NORTE,193345859.56,1419703,59182337.46,53921,192007485.4,1071331,56027388.59,155535,51457,1524,51603,1427
202412,1718899,SANTA RITA DO TOCANTINS,17,TOCANTINS,NO,NORTE,6867402.73,37375,14119029.03,4443,10647866.28,22001,4121732.19,10704,1001,59,999,52
202309,2923209,OLIVEIRA DOS BREJINHOS,29,BAHIA,NE,NORDESTE,27678678.95,185782,15109985.86,6904,26726804.5,129738,10776356.24,20996,8138,336,7956,304
202406,3169703,TURMALINA,31,MINAS GERAIS,SE,SUDESTE,52979636.87,332089,23623397.8,21139,52320893.5,179982,33057135.12,70811,11103,759,10759,701
202305,3170529,URUCUIA,31,MINAS GERAIS,SE,SUDESTE,14483254.98,75957,5871501.08,5163,14564835.31,52836,5408228.85,15533,4218,211,4210,212
202307,2919926,MADRE DE DEUS,29,BAHIA,NE,NORDESTE,52785176.45,399931,10821067.11,15692,49660452.78,285696,8934845.43,39595,12220,476,12253,445
202403,3516705,GARÇA,35,SÃO PAULO,SE,SUDESTE,127016183.23,709909,133623120.96,63391,136797798.41,416073,125677614.13,144722,25094,2161,24864,2104
202409,3168606,TEÓFILO OTONI,31,MINAS GERAIS,SE,SUDESTE,516919848.84,2718078,374790306.23,162232,535152443.02,1778274,352101977.49,805450,86178,5636,86897,5110
202309,3554508,TIETÊ,35,SÃO PAULO,SE,SUDESTE,108179440.14,439774,180447336.15,42845,119458688.97,292704,176101350.02,83927,22447,2031,22168,1989
202409,2505501,VISTA SERRANA,25,PARAÍBA,NE,NORDESTE,17851432.26,76569,753740.69,716,16230388.99,61375,830867.8,3904,2050,52,1985,50
202504,5008008,TERENOS,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,52558786.86,331224,41774181.81,21372,52740966.62,175010,64461890.55,54939,8559,573,8356,535
202303,3105400,BARÃO DE COCAIS,31,MINAS GERAIS,SE,SUDESTE,72932343.63,320855,20359337.24,21243,66679360.18,215976,20796915.75,59293,16426,983,16151,950
202310,3204559,SANTA MARIA DE JETIBÁ,32,ESPÍRITO SANTO,SE,SUDESTE,88708924.1,282346,197224313.68,27697,107150906.51,207042,222174193.42,93881,15166,1358,14255,1317
202404,4308805,GENERAL CÂMARA,43,RIO GRANDE DO SUL,SU,SUL,14396143.16,94121,6263018.41,5519,14397695.26,50197,6780105.23,11772,3931,224,3713,218
202412,2516805,TRIUNFO,25,PARAÍBA,NE,NORDESTE,30397626.57,175299,3272614.93,2722,28273331.18,118214,2934098.19,17662,5105,118,4933,111
202402,2110005,SANTA LUZIA,21,MARANHÃO,NE,NORDESTE,169906917.25,1057761,18298664.82,21206,156814712.09,692923,19024066.24,80423,34671,603,33462,572
202404,3119609,CORONEL PACHECO,31,MINAS GERAIS,SE,SUDESTE,3565784.43,24418,1424812.26,1957,4060812.27,15904,749907.26,3921,1264,74,1221,67
202406,4204608,CRICIÚMA,42,SANTA CATARINA,SU,SUL,836187148.58,3440409,1391554058.14,415763,908554932.64,2061524,1432558224.83,1249364,138690,16512,137350,15592
202305,3122504,DOM CAVATI,31,MINAS GERAIS,SE,SUDESTE,9715062.28,43125,2934631.34,3372,11511857.77,33974,2722297.02,9355,2529,192,2572,194
